title,summary,published,updated,authors,pdf_url,primary_category,categories
What Do Large Language Models Know? Tacit Knowledge as a Potential Causal-Explanatory Structure,"It is sometimes assumed that Large Language Models (LLMs) know language, or
for example that they know that Paris is the capital of France. But what -- if
anything -- do LLMs actually know? In this paper, I argue that LLMs can acquire
tacit knowledge as defined by Martin Davies (1990). Whereas Davies himself
denies that neural networks can acquire tacit knowledge, I demonstrate that
certain architectural features of LLMs satisfy the constraints of semantic
description, syntactic structure, and causal systematicity. Thus, tacit
knowledge may serve as a conceptual framework for describing, explaining, and
intervening on LLMs and their behavior.",2025-04-16 15:42:33+00:00,2025-04-16 15:42:33+00:00,['Céline Budding'],http://arxiv.org/pdf/2504.12187v1,cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']"
CoMotion: Concurrent Multi-person 3D Motion,"We introduce an approach for detecting and tracking detailed 3D poses of
multiple people from a single monocular camera stream. Our system maintains
temporally coherent predictions in crowded scenes filled with difficult poses
and occlusions. Our model performs both strong per-frame detection and a
learned pose update to track people from frame to frame. Rather than match
detections across time, poses are updated directly from a new input image,
which enables online tracking through occlusion. We train on numerous image and
video datasets leveraging pseudo-labeled annotations to produce a model that
matches state-of-the-art systems in 3D pose estimation accuracy while being
faster and more accurate in tracking multiple people through time. Code and
weights are provided at https://github.com/apple/ml-comotion",2025-04-16 15:40:15+00:00,2025-04-16 15:40:15+00:00,"['Alejandro Newell', 'Peiyun Hu', 'Lahav Lipson', 'Stephan R. Richter', 'Vladlen Koltun']",http://arxiv.org/pdf/2504.12186v1,cs.CV,"['cs.CV', 'cs.LG']"
SALAD: Improving Robustness and Generalization through Contrastive Learning with Structure-Aware and LLM-Driven Augmented Data,"In various natural language processing (NLP) tasks, fine-tuning Pre-trained
Language Models (PLMs) often leads to the issue of spurious correlations, which
negatively impacts performance, particularly when dealing with
out-of-distribution data. To address this problem, we propose SALAD}(Structure
Aware and LLM-driven Augmented Data), a novel approach designed to enhance
model robustness and generalization by generating structure-aware and
counterfactually augmented data for contrastive learning. Our method leverages
a tagging-based approach to generate structure-aware positive samples and
utilizes large language models (LLMs) to generate counterfactual negative
samples with diverse sentence patterns. By applying contrastive learning, SALAD
enables the model to focus on learning the structural relationships between key
sentence components while minimizing reliance on spurious correlations. We
validate our approach through experiments on three tasks: Sentiment
Classification, Sexism Detection, and Natural Language Inference. The results
demonstrate that SALAD not only improves model robustness and performance
across different environments but also enhances generalization to
out-of-distribution datasets and cross-domain scenarios.",2025-04-16 15:40:10+00:00,2025-04-16 15:40:10+00:00,"['Suyoung Bae', 'Hyojun Kim', 'YunSeok Choi', 'Jee-Hyong Lee']",http://arxiv.org/pdf/2504.12185v1,cs.CL,"['cs.CL', 'cs.AI']"
Feature Selection for Data-driven Explainable Optimization,"Mathematical optimization, although often leading to NP-hard models, is now
capable of solving even large-scale instances within reasonable time. However,
the primary focus is often placed solely on optimality. This implies that while
obtained solutions are globally optimal, they are frequently not comprehensible
to humans, in particular when obtained by black-box routines. In contrast,
explainability is a standard requirement for results in Artificial
Intelligence, but it is rarely considered in optimization yet. There are only a
few studies that aim to find solutions that are both of high quality and
explainable. In recent work, explainability for optimization was defined in a
data-driven manner: a solution is considered explainable if it closely
resembles solutions that have been used in the past under similar
circumstances. To this end, it is crucial to identify a preferably small subset
of features from a presumably large set that can be used to explain a solution.
In mathematical optimization, feature selection has received little attention
yet. In this work, we formally define the feature selection problem for
explainable optimization and prove that its decision version is NP-complete. We
introduce mathematical models for optimized feature selection. As their global
solution requires significant computation time with modern mixed-integer linear
solvers, we employ local heuristics. Our computational study using data that
reflect real-world scenarios demonstrates that the problem can be solved
practically efficiently for instances of reasonable size.",2025-04-16 15:40:03+00:00,2025-04-16 15:40:03+00:00,"['Kevin-Martin Aigner', 'Marc Goerigk', 'Michael Hartisch', 'Frauke Liers', 'Arthur Miehlich', 'Florian Rösel']",http://arxiv.org/pdf/2504.12184v1,math.OC,['math.OC']
Towards asteroseismology of neutron stars with physics-informed neural networks,"The study of the gravitational wave signatures of neutron star oscillations
may provide important information of their interior structure and Equation of
State (EoS) at high densities. We present a novel technique based on physically
informed neural networks (PINNs) to solve the eigenvalue problem associated
with normal oscillation modes of neutron stars. The procedure is tested in a
simplified scenario, with an analytical solution, that can be used to test the
performance and the accuracy of the method. We show that it is possible to get
accurate results of both the eigenfrequencies and the eigenfunctions with this
scheme. The flexibility of the method and its capability of adapting to complex
scenarios may serve in the future as a path to include more physics into these
systems.",2025-04-16 15:39:45+00:00,2025-04-16 15:39:45+00:00,"['Dimitra Tseneklidou', 'Alejandro Torres-Forne', 'Pablo Cerda-Duran']",http://arxiv.org/pdf/2504.12183v1,astro-ph.HE,"['astro-ph.HE', 'gr-qc']"
Battery-aware Cyclic Scheduling in Energy-harvesting Federated Learning,"Federated Learning (FL) has emerged as a promising framework for distributed
learning, but its growing complexity has led to significant energy consumption,
particularly from computations on the client side. This challenge is especially
critical in energy-harvesting FL (EHFL) systems, where device availability
fluctuates due to limited and time-varying energy resources. We propose
FedBacys, a battery-aware FL framework that introduces cyclic client
participation based on users' battery levels to cope with these issues.
FedBacys enables clients to save energy and strategically perform local
training just before their designated transmission time by clustering clients
and scheduling their involvement sequentially. This design minimizes redundant
computation, reduces system-wide energy usage, and improves learning stability.
Our experiments demonstrate that FedBacys outperforms existing approaches in
terms of energy efficiency and performance consistency, exhibiting robustness
even under non-i.i.d. training data distributions and with very infrequent
battery charging. This work presents the first comprehensive evaluation of
cyclic client participation in EHFL, incorporating both communication and
computation costs into a unified, resource-aware scheduling strategy.",2025-04-16 15:38:38+00:00,2025-04-16 15:38:38+00:00,"['Eunjeong Jeong', 'Nikolaos Pappas']",http://arxiv.org/pdf/2504.12181v1,cs.LG,"['cs.LG', 'cs.IT', 'math.IT']"
Trusting CHATGPT: how minor tweaks in the prompts lead to major differences in sentiment classification,"One fundamental question for the social sciences today is: how much can we
trust highly complex predictive models like ChatGPT? This study tests the
hypothesis that subtle changes in the structure of prompts do not produce
significant variations in the classification results of sentiment polarity
analysis generated by the Large Language Model GPT-4o mini. Using a dataset of
100.000 comments in Spanish on four Latin American presidents, the model
classified the comments as positive, negative, or neutral on 10 occasions,
varying the prompts slightly each time. The experimental methodology included
exploratory and confirmatory analyses to identify significant discrepancies
among classifications.
  The results reveal that even minor modifications to prompts such as lexical,
syntactic, or modal changes, or even their lack of structure impact the
classifications. In certain cases, the model produced inconsistent responses,
such as mixing categories, providing unsolicited explanations, or using
languages other than Spanish. Statistical analysis using Chi-square tests
confirmed significant differences in most comparisons between prompts, except
in one case where linguistic structures were highly similar.
  These findings challenge the robustness and trust of Large Language Models
for classification tasks, highlighting their vulnerability to variations in
instructions. Moreover, it was evident that the lack of structured grammar in
prompts increases the frequency of hallucinations. The discussion underscores
that trust in Large Language Models is based not only on technical performance
but also on the social and institutional relationships underpinning their use.",2025-04-16 15:37:09+00:00,2025-04-16 15:37:09+00:00,"['Jaime E. Cuellar', 'Oscar Moreno-Martinez', 'Paula Sofia Torres-Rodriguez', 'Jaime Andres Pavlich-Mariscal', 'Andres Felipe Mican-Castiblanco', 'Juan Guillermo Torres-Hurtado']",http://arxiv.org/pdf/2504.12180v1,cs.CL,"['cs.CL', 'cs.AI']"
Search for additional scalar bosons within the Inert Doublet Model in a final state with two leptons at the FCC-ee,"In this work, we investigate the discovery reach of a new physics model, the
Inert Doublet Model, at an $e^+e^-$ machine with centre-of-mass energies
$\sqrt{s}$ of 240 and 365 GeV. Within this model, four additional scalar bosons
($H$, $A$, $H^+$ and $H^-$) are predicted. Due to an additional symmetry, the
lightest new scalar, here chosen to be $H$, is stable and provides an adequate
dark matter candidate. The search for pair production of the new scalars is
investigated in final states with two electrons or two muons, in the context of
the future circular collider proposal, FCC-ee. Building on previous studies in
the context of the CLIC proposal, this analysis extends the search to
detector-level objects, using a parametric neural network to enhance the signal
contributions over the Standard Model backgrounds, and sets limits in the
$m_A-m_H$ vs $m_H$ plane. With a total integrated luminosity of 10.8 (2.7)
ab$^{-1}$ for $\sqrt{s}=240$ (365) GeV, almost the entire phase-space available
in the $m_A-m_H$ vs $m_H$ plane is expected to be excluded at 95% CL, reaching
up to $m_H=110$ (165) GeV. The discovery reach is also explored, reaching $m_H=
108$ (157) GeV for $m_A-m_H=15$ GeV at $\sqrt{s}=240$ (365) GeV.",2025-04-16 15:30:01+00:00,2025-04-16 15:30:01+00:00,"['Anubha Bal', 'Edward Curtis', 'Anne-Marie Magnan', 'Benedikt Maier', 'Tania Robens', 'Nicholas Wardle']",http://arxiv.org/pdf/2504.12178v1,hep-ph,"['hep-ph', 'hep-ex']"
Mapping Controversies Using Artificial Intelligence: An Analysis of the Hamas-Israel Conflict on YouTube,"This article analyzes the Hamas-Israel controversy through 253,925
Spanish-language YouTube comments posted between October 2023 and January 2024,
following the October 7 attack that escalated the conflict. Adopting an
interdisciplinary approach, the study combines the analysis of controversies
from Science and Technology Studies (STS) with advanced computational
methodologies, specifically Natural Language Processing (NLP) using the BERT
(Bidirectional Encoder Representations from Transformers) model. Using this
approach, the comments were automatically classified into seven categories,
reflecting pro-Palestinian, pro-Israeli, anti- Palestinian, anti-Israeli
positions, among others. The results show a predominance of pro- Palestinian
comments, although pro-Israeli and anti-Palestinian comments received more
""likes."" This study also applies the agenda-setting theory to demonstrate how
media coverage significantly influences public perception, observing a notable
shift in public opinion, transitioning from a pro- Palestinian stance to a more
critical position towards Israel. This work highlights the importance of
combining social science perspectives with technological tools in the analysis
of controversies, presenting a methodological innovation by integrating
computational analysis with critical social theories to address complex public
opinion phenomena and media narratives.",2025-04-16 15:27:57+00:00,2025-04-16 15:27:57+00:00,"['Victor Manuel Hernandez Lopez', 'Jaime E. Cuellar']",http://arxiv.org/pdf/2504.12177v1,cs.CL,"['cs.CL', 'cs.AI']"
Approximation Bounds for Transformer Networks with Application to Regression,"We explore the approximation capabilities of Transformer networks for
H\""older and Sobolev functions, and apply these results to address
nonparametric regression estimation with dependent observations. First, we
establish novel upper bounds for standard Transformer networks approximating
sequence-to-sequence mappings whose component functions are H\""older continuous
with smoothness index $\gamma \in (0,1]$. To achieve an approximation error
$\varepsilon$ under the $L^p$-norm for $p \in [1, \infty]$, it suffices to use
a fixed-depth Transformer network whose total number of parameters scales as
$\varepsilon^{-d_x n / \gamma}$. This result not only extends existing findings
to include the case $p = \infty$, but also matches the best known upper bounds
on number of parameters previously obtained for fixed-depth FNNs and RNNs.
Similar bounds are also derived for Sobolev functions. Second, we derive
explicit convergence rates for the nonparametric regression problem under
various $\beta$-mixing data assumptions, which allow the dependence between
observations to weaken over time. Our bounds on the sample complexity impose no
constraints on weight magnitudes. Lastly, we propose a novel proof strategy to
establish approximation bounds, inspired by the Kolmogorov-Arnold
representation theorem. We show that if the self-attention layer in a
Transformer can perform column averaging, the network can approximate
sequence-to-sequence H\""older functions, offering new insights into the
interpretability of self-attention mechanisms.",2025-04-16 15:25:58+00:00,2025-04-16 15:25:58+00:00,"['Yuling Jiao', 'Yanming Lai', 'Defeng Sun', 'Yang Wang', 'Bokai Yan']",http://arxiv.org/pdf/2504.12175v1,stat.ML,"['stat.ML', 'cs.LG']"
Poem Meter Classification of Recited Arabic Poetry: Integrating High-Resource Systems for a Low-Resource Task,"Arabic poetry is an essential and integral part of Arabic language and
culture. It has been used by the Arabs to spot lights on their major events
such as depicting brutal battles and conflicts. They also used it, as in many
other languages, for various purposes such as romance, pride, lamentation, etc.
Arabic poetry has received major attention from linguistics over the decades.
One of the main characteristics of Arabic poetry is its special rhythmic
structure as opposed to prose. This structure is referred to as a meter.
Meters, along with other poetic characteristics, are intensively studied in an
Arabic linguistic field called ""\textit{Aroud}"". Identifying these meters for a
verse is a lengthy and complicated process. It also requires technical
knowledge in \textit{Aruod}. For recited poetry, it adds an extra layer of
processing. Developing systems for automatic identification of poem meters for
recited poems need large amounts of labelled data. In this study, we propose a
state-of-the-art framework to identify the poem meters of recited Arabic
poetry, where we integrate two separate high-resource systems to perform the
low-resource task. To ensure generalization of our proposed architecture, we
publish a benchmark for this task for future research.",2025-04-16 15:25:45+00:00,2025-04-16 15:25:45+00:00,"['Maged S. Al-Shaibani', 'Zaid Alyafeai', 'Irfan Ahmad']",http://arxiv.org/pdf/2504.12172v1,cs.CL,"['cs.CL', 'cs.AI']"
AI Behind Closed Doors: a Primer on The Governance of Internal Deployment,"The most advanced future AI systems will first be deployed inside the
frontier AI companies developing them. According to these companies and
independent experts, AI systems may reach or even surpass human intelligence
and capabilities by 2030. Internal deployment is, therefore, a key source of
benefits and risks from frontier AI systems. Despite this, the governance of
the internal deployment of highly advanced frontier AI systems appears absent.
This report aims to address this absence by priming a conversation around the
governance of internal deployment. It presents a conceptualization of internal
deployment, learnings from other sectors, reviews of existing legal frameworks
and their applicability, and illustrative examples of the type of scenarios we
are most concerned about. Specifically, it discusses the risks correlated to
the loss of control via the internal application of a misaligned AI system to
the AI research and development pipeline, and unconstrained and undetected
power concentration behind closed doors. The report culminates with a small
number of targeted recommendations that provide a first blueprint for the
governance of internal deployment.",2025-04-16 15:21:13+00:00,2025-04-16 15:21:13+00:00,"['Charlotte Stix', 'Matteo Pistillo', 'Girish Sastry', 'Marius Hobbhahn', 'Alejandro Ortega', 'Mikita Balesni', 'Annika Hallensleben', 'Nix Goldowsky-Dill', 'Lee Sharkey']",http://arxiv.org/pdf/2504.12170v1,cs.CY,['cs.CY']
Towards a General-Purpose Zero-Shot Synthetic Low-Light Image and Video Pipeline,"Low-light conditions pose significant challenges for both human and machine
annotation. This in turn has led to a lack of research into machine
understanding for low-light images and (in particular) videos. A common
approach is to apply annotations obtained from high quality datasets to
synthetically created low light versions. In addition, these approaches are
often limited through the use of unrealistic noise models. In this paper, we
propose a new Degradation Estimation Network (DEN), which synthetically
generates realistic standard RGB (sRGB) noise without the requirement for
camera metadata. This is achieved by estimating the parameters of
physics-informed noise distributions, trained in a self-supervised manner. This
zero-shot approach allows our method to generate synthetic noisy content with a
diverse range of realistic noise characteristics, unlike other methods which
focus on recreating the noise characteristics of the training data. We evaluate
our proposed synthetic pipeline using various methods trained on its synthetic
data for typical low-light tasks including synthetic noise replication, video
enhancement, and object detection, showing improvements of up to 24\% KLD, 21\%
LPIPS, and 62\% AP$_{50-95}$, respectively.",2025-04-16 15:19:11+00:00,2025-04-16 15:19:11+00:00,"['Joanne Lin', 'Crispian Morris', 'Ruirui Lin', 'Fan Zhang', 'David Bull', 'Nantheera Anantrasirichai']",http://arxiv.org/pdf/2504.12169v1,cs.CV,"['cs.CV', 'eess.IV']"
RADLER: Radar Object Detection Leveraging Semantic 3D City Models and Self-Supervised Radar-Image Learning,"Semantic 3D city models are worldwide easy-accessible, providing accurate,
object-oriented, and semantic-rich 3D priors. To date, their potential to
mitigate the noise impact on radar object detection remains under-explored. In
this paper, we first introduce a unique dataset, RadarCity, comprising 54K
synchronized radar-image pairs and semantic 3D city models. Moreover, we
propose a novel neural network, RADLER, leveraging the effectiveness of
contrastive self-supervised learning (SSL) and semantic 3D city models to
enhance radar object detection of pedestrians, cyclists, and cars.
Specifically, we first obtain the robust radar features via a SSL network in
the radar-image pretext task. We then use a simple yet effective feature fusion
strategy to incorporate semantic-depth features from semantic 3D city models.
Having prior 3D information as guidance, RADLER obtains more fine-grained
details to enhance radar object detection. We extensively evaluate RADLER on
the collected RadarCity dataset and demonstrate average improvements of 5.46%
in mean avarage precision (mAP) and 3.51% in mean avarage recall (mAR) over
previous radar object detection methods. We believe this work will foster
further research on semantic-guided and map-supported radar object detection.
Our project page is publicly available
athttps://gpp-communication.github.io/RADLER .",2025-04-16 15:18:56+00:00,2025-04-16 15:18:56+00:00,"['Yuan Luo', 'Rudolf Hoffmann', 'Yan Xia', 'Olaf Wysocki', 'Benedikt Schwab', 'Thomas H. Kolbe', 'Daniel Cremers']",http://arxiv.org/pdf/2504.12167v1,cs.CV,"['cs.CV', 'cs.LG']"
"Deep Material Network: Overview, applications and current directions","Deep Material Network (DMN) has emerged as a powerful framework for
multiscale material modeling, enabling efficient and accurate predictions of
material behavior across different length scales. Unlike traditional machine
learning approaches, the trainable parameters in DMN have direct physical
interpretations, capturing the geometric characteristics of the microstructure
rather than serving as purely statistical fitting parameters. Its hierarchical
tree structure effectively encodes microstructural interactions and deformation
mechanisms, allowing DMN to achieve a balance between accuracy and
computational efficiency. This physics-informed architecture significantly
reduces computational costs compared to direct numerical simulations while
preserving essential microstructural physics. Furthermore, DMN can be trained
solely on a linear elastic dataset while effectively extrapolating nonlinear
responses during online prediction, making it a highly efficient and scalable
approach for multiscale material modeling. This article provides a
comprehensive review of DMN, detailing its motivation, underlying methodology,
and recent advancements. We discuss key modeling aspects, including its
hierarchical structure, training process, and the role of physics-based
constraints in enhancing predictive accuracy. Furthermore, we highlight its
applications in component-scale multiscale analysis and inverse parameter
identification, demonstrating its capability to bridge microscale material
behavior with macroscale engineering predictions. Finally, we discuss
challenges and future directions in improving DMN's generalization capabilities
and its potential extensions for broader applications in multiscale modeling.",2025-04-16 15:05:25+00:00,2025-04-16 15:05:25+00:00,"['Ting-Ju Wei', 'Wen-Ning Wan', 'Chuin-Shan Chen']",http://arxiv.org/pdf/2504.12159v1,cs.CE,['cs.CE']
Predictive Multiplicity in Survival Models: A Method for Quantifying Model Uncertainty in Predictive Maintenance Applications,"In many applications, especially those involving prediction, models may yield
near-optimal performance yet significantly disagree on individual-level
outcomes. This phenomenon, known as predictive multiplicity, has been formally
defined in binary, probabilistic, and multi-target classification, and
undermines the reliability of predictive systems. However, its implications
remain unexplored in the context of survival analysis, which involves
estimating the time until a failure or similar event while properly handling
censored data. We frame predictive multiplicity as a critical concern in
survival-based models and introduce formal measures -- ambiguity, discrepancy,
and obscurity -- to quantify it. This is particularly relevant for downstream
tasks such as maintenance scheduling, where precise individual risk estimates
are essential. Understanding and reporting predictive multiplicity helps build
trust in models deployed in high-stakes environments. We apply our methodology
to benchmark datasets from predictive maintenance, extending the notion of
multiplicity to survival models. Our findings show that ambiguity steadily
increases, reaching up to 40-45% of observations; discrepancy is lower but
exhibits a similar trend; and obscurity remains mild and concentrated in a few
models. These results demonstrate that multiple accurate survival models may
yield conflicting estimations of failure risk and degradation progression for
the same equipment. This highlights the need to explicitly measure and
communicate predictive multiplicity to ensure reliable decision-making in
process health management.",2025-04-16 15:04:00+00:00,2025-04-16 15:04:00+00:00,['Mustafa Cavus'],http://arxiv.org/pdf/2504.12156v1,cs.LG,"['cs.LG', 'stat.ML']"
Towards Explainable Fusion and Balanced Learning in Multimodal Sentiment Analysis,"Multimodal Sentiment Analysis (MSA) faces two critical challenges: the lack
of interpretability in the decision logic of multimodal fusion and modality
imbalance caused by disparities in inter-modal information density. To address
these issues, we propose KAN-MCP, a novel framework that integrates the
interpretability of Kolmogorov-Arnold Networks (KAN) with the robustness of the
Multimodal Clean Pareto (MCPareto) framework. First, KAN leverages its
univariate function decomposition to achieve transparent analysis of
cross-modal interactions. This structural design allows direct inspection of
feature transformations without relying on external interpretation tools,
thereby ensuring both high expressiveness and interpretability. Second, the
proposed MCPareto enhances robustness by addressing modality imbalance and
noise interference. Specifically, we introduce the Dimensionality Reduction and
Denoising Modal Information Bottleneck (DRD-MIB) method, which jointly denoises
and reduces feature dimensionality. This approach provides KAN with
discriminative low-dimensional inputs to reduce the modeling complexity of KAN
while preserving critical sentiment-related information. Furthermore, MCPareto
dynamically balances gradient contributions across modalities using the
purified features output by DRD-MIB, ensuring lossless transmission of
auxiliary signals and effectively alleviating modality imbalance. This synergy
of interpretability and robustness not only achieves superior performance on
benchmark datasets such as CMU-MOSI, CMU-MOSEI, and CH-SIMS v2 but also offers
an intuitive visualization interface through KAN's interpretable architecture.",2025-04-16 15:00:06+00:00,2025-04-16 15:00:06+00:00,"['Miaosen Luo', 'Yuncheng Jiang', 'Sijie Mai']",http://arxiv.org/pdf/2504.12151v1,cs.LG,"['cs.LG', 'cs.AI']"
ARCeR: an Agentic RAG for the Automated Definition of Cyber Ranges,"The growing and evolving landscape of cybersecurity threats necessitates the
development of supporting tools and platforms that allow for the creation of
realistic IT environments operating within virtual, controlled settings as
Cyber Ranges (CRs). CRs can be exploited for analyzing vulnerabilities and
experimenting with the effectiveness of devised countermeasures, as well as
serving as training environments for building cyber security skills and
abilities for IT operators. This paper proposes ARCeR as an innovative solution
for the automatic generation and deployment of CRs, starting from user-provided
descriptions in a natural language. ARCeR relies on the Agentic RAG paradigm,
which allows it to fully exploit state-of-art AI technologies. Experimental
results show that ARCeR is able to successfully process prompts even in cases
that LLMs or basic RAG systems are not able to cope with. Furthermore, ARCeR is
able to target any CR framework provided that specific knowledge is made
available to it.",2025-04-16 14:53:28+00:00,2025-04-16 14:53:28+00:00,"['Matteo Lupinacci', 'Francesco Blefari', 'Francesco Romeo', 'Francesco Aurelio Pironti', 'Angelo Furfaro']",http://arxiv.org/pdf/2504.12143v1,cs.CR,"['cs.CR', 'cs.AI']"
Heavy neutrino mixing prospects at hadron colliders: a machine learning study,"We apply machine learning to the searches of heavy neutrino mixing in the
inverse seesaw in the framework of left-right symmetric model at the
high-energy hadron colliders. The Majorana nature of heavy neutrinos can induce
the processes $pp \to W_R^\pm \to \ell_\alpha^\pm N \to \ell_\alpha^\pm
\ell_\beta^{\mp,\,\pm} jj$, with opposite-sign (OS) and same-sign (SS) dilepton
and two jets in the final state. The distributions of the charged leptons $\ell
= e ,\, \mu$ and jets and their correlations are utilized as input for machine
learning analysis. It is found that for both the OS and SS processes, XGBoost
can efficiently distinguish signals from the standard model backgrounds. We
estimate the sensitivities of heavy neutrino mass $m_N$ and their mixing in the
OS and SS $ee$, $\mu\mu$ and $e\mu$ final states at $\sqrt{s} = 14$ TeV, 27 TeV
and 100 TeV. It turns out that the heavy neutrinos can be probed up to 17.1 TeV
and 19.5 TeV in the OS and SS channels, respectively. The sine of the mixing
angle of heavy neutrinos can be probed up to the maximal value of $\sqrt2/2$
and 0.69 in the OS and SS channels, respectively.",2025-04-16 14:52:57+00:00,2025-04-16 14:52:57+00:00,"['Si-Yu Chen', 'Yu-Peng Jiao', 'Shi-Yu Wang', 'Qi-Shu Yan', 'Hong-Hao Zhang', 'Yongchao Zhang']",http://arxiv.org/pdf/2504.12141v1,hep-ph,['hep-ph']
Multilingual Contextualization of Large Language Models for Document-Level Machine Translation,"Large language models (LLMs) have demonstrated strong performance in
sentence-level machine translation, but scaling to document-level translation
remains challenging, particularly in modeling long-range dependencies and
discourse phenomena across sentences and paragraphs. In this work, we propose a
method to improve LLM-based long-document translation through targeted
fine-tuning on high-quality document-level data, which we curate and introduce
as DocBlocks. Our approach supports multiple translation paradigms, including
direct document-to-document and chunk-level translation, by integrating
instructions both with and without surrounding context. This enables models to
better capture cross-sentence dependencies while maintaining strong
sentence-level translation performance. Experimental results show that
incorporating multiple translation paradigms improves document-level
translation quality and inference speed compared to prompting and agent-based
methods.",2025-04-16 14:52:22+00:00,2025-04-16 14:52:22+00:00,"['Miguel Moura Ramos', 'Patrick Fernandes', 'Sweta Agrawal', 'André F. T. Martins']",http://arxiv.org/pdf/2504.12140v1,cs.CL,['cs.CL']
Efficient Contrastive Decoding with Probabilistic Hallucination Detection - Mitigating Hallucinations in Large Vision Language Models -,"Despite recent advances in Large Vision Language Models (LVLMs), these models
still suffer from generating hallucinatory responses that do not align with the
visual input provided. To mitigate such hallucinations, we introduce Efficient
Contrastive Decoding (ECD), a simple method that leverages probabilistic
hallucination detection to shift the output distribution towards contextually
accurate answers at inference time. By contrasting token probabilities and
hallucination scores, ECD subtracts hallucinated concepts from the original
distribution, effectively suppressing hallucinations. Notably, our proposed
method can be applied to any open-source LVLM and does not require additional
LVLM training. We evaluate our method on several benchmark datasets and across
different LVLMs. Our experiments show that ECD effectively mitigates
hallucinations, outperforming state-of-the-art methods with respect to
performance on LVLM benchmarks and computation time.",2025-04-16 14:50:25+00:00,2025-04-16 14:50:25+00:00,"['Laura Fieback', 'Nishilkumar Balar', 'Jakob Spiegelberg', 'Hanno Gottschalk']",http://arxiv.org/pdf/2504.12137v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.CL', 'cs.LG']"
EmoACT: a Framework to Embed Emotions into Artificial Agents Based on Affect Control Theory,"As robots and artificial agents become increasingly integrated into daily
life, enhancing their ability to interact with humans is essential. Emotions,
which play a crucial role in human interactions, can improve the naturalness
and transparency of human-robot interactions (HRI) when embodied in artificial
agents. This study aims to employ Affect Control Theory (ACT), a psychological
model of emotions deeply rooted in interaction, for the generation of synthetic
emotions. A platform-agnostic framework inspired by ACT was developed and
implemented in a humanoid robot to assess its impact on human perception.
Results show that the frequency of emotional displays impacts how users
perceive the robot. Moreover, appropriate emotional expressions seem to enhance
the robot's perceived emotional and cognitive agency. The findings suggest that
ACT can be successfully employed to embed synthetic emotions into robots,
resulting in effective human-robot interactions, where the robot is perceived
more as a social agent than merely a machine.",2025-04-16 14:36:52+00:00,2025-04-16 14:36:52+00:00,"['Francesca Corrao', 'Alice Nardelli', 'Jennifer Renoux', 'Carmine Tommaso Recchiuto']",http://arxiv.org/pdf/2504.12125v1,cs.RO,['cs.RO']
Remote sensing colour image semantic segmentation of trails created by large herbivorous Mammals,"Detection of spatial areas where biodiversity is at risk is of paramount
importance for the conservation and monitoring of ecosystems. Large terrestrial
mammalian herbivores are keystone species as their activity not only has deep
effects on soils, plants, and animals, but also shapes landscapes, as large
herbivores act as allogenic ecosystem engineers. One key landscape feature that
indicates intense herbivore activity and potentially impacts biodiversity is
the formation of grazing trails. Grazing trails are formed by the continuous
trampling activity of large herbivores that can produce complex networks of
tracks of bare soil. Here, we evaluated different algorithms based on machine
learning techniques to identify grazing trails. Our goal is to automatically
detect potential areas with intense herbivory activity, which might be
beneficial for conservation and management plans.
  We have applied five semantic segmentation methods combined with fourteen
encoders aimed at mapping grazing trails on aerial images. Our results indicate
that in most cases the chosen methodology successfully mapped the trails,
although there were a few instances where the actual trail structure was
underestimated. The UNet architecture with the MambaOut encoder was the best
architecture for mapping trails. The proposed approach could be applied to
develop tools for mapping and monitoring temporal changes in these landscape
structures to support habitat conservation and land management programs. This
is the first time, to the best of our knowledge, that competitive image
segmentation results are obtained for the detection and delineation of trails
of large herbivorous mammals.",2025-04-16 14:33:57+00:00,2025-04-16 14:33:57+00:00,"['Jose Francisco Diez-Pastor', 'Francisco Javier Gonzalez-Moya', 'Pedro Latorre-Carmona', 'Francisco Javier Perez-Barbería', 'Ludmila I. Kuncheva', 'Antonio Canepa-Oneto', 'Alvar Arnaiz-González', 'Cesar Garcia-Osorio']",http://arxiv.org/pdf/2504.12121v1,cs.CV,['cs.CV']
Towards LLM Agents for Earth Observation,"Earth Observation (EO) provides critical planetary data for environmental
monitoring, disaster management, climate science, and other scientific domains.
Here we ask: Are AI systems ready for reliable Earth Observation? We introduce
\datasetnamenospace, a benchmark of 140 yes/no questions from NASA Earth
Observatory articles across 13 topics and 17 satellite sensors. Using Google
Earth Engine API as a tool, LLM agents can only achieve an accuracy of 33%
because the code fails to run over 58% of the time. We improve the failure rate
for open models by fine-tuning synthetic data, allowing much smaller models
(Llama-3.1-8B) to achieve comparable accuracy to much larger ones (e.g.,
DeepSeek-R1). Taken together, our findings identify significant challenges to
be solved before AI agents can automate earth observation, and suggest paths
forward. The project page is available at
https://iandrover.github.io/UnivEarth.",2025-04-16 14:19:25+00:00,2025-04-16 14:19:25+00:00,"['Chia Hsiang Kao', 'Wenting Zhao', 'Shreelekha Revankar', 'Samuel Speas', 'Snehal Bhagat', 'Rajeev Datta', 'Cheng Perng Phoo', 'Utkarsh Mall', 'Carl Vondrick', 'Kavita Bala', 'Bharath Hariharan']",http://arxiv.org/pdf/2504.12110v1,cs.AI,['cs.AI']
